word_id,word,translation into English,SER_m,SER_sd
word0097,ACTUAR,ACT,4.051,2.012
word0098,ACUCHILLAR,STAB,4.588,2.105
word0099,ACUDIR,COME,2.514,1.502
word0100,ACUERDO,AGREEMENT,2.868,1.877
word0101,ACUMULAR,ACCUMULATE,2.556,1.107
word0102,ACURRUCARSE,SNUGGLE,5.111,1.879
word0103,ACUSAR,ACCUSE,3.590,1.970
word0104,ACÚSTICA,ACOUSTICS,4.147,1.828
word0105,ADAPTAR,ADAPT,3.353,2.073
word0106,ADECUADO,APPROPRIATE,3.054,1.794
word0107,ADELANTAR,ADVANCE,3.059,1.413
word0108,ADEMÁN,GESTURE,2.235,1.458
word0109,ADHERIRSE,ADHERE,2.824,1.732
word0110,ADHESIÓN,ADHESION,2.641,1.828
word0111,ADHESIVA,ADHESIVE,3.278,1.717
word0112,ADICCIÓN,ADDICTION,5.257,1.421
word0113,ADICTO,ADDICT,4.158,1.717
word0114,ADIESTRAR,INSTRUCT,3.158,1.717
word0115,ADINERADO,WEALTHY,2.806,1.653
word0116,ADIVINAR,GUESS,2.833,1.890
word0117,ADJETIVO,ADJECTIVE,2.553,1.688
word0118,ADJUNTAR,ATTACH,1.971,1.114
word0119,ADMIRADO,ADMIRED,4.333,1.840
word0120,ADMIRAR,ADMIRE,4.800,1.795
word0121,ADMITIR,ADMIT,3.056,1.956
word0122,ADOCTRINAR,INDOCTRINATE,3.371,1.880
word0123,ADOLESCENTE,TEENAGER,4.410,1.585
word0124,ADORABLE,LOVELY,5.568,1.463
word0125,ADORAR,ADORE,3.611,2.088
word0126,ADOSADO,DUPLEX,2.176,1.218
word0127,ADQUIRIR,ACQUIRE,3.513,1.904
word0128,ADUANA,CUSTOMS,2.588,1.500
word0129,ADUEÑAR,OWN,2.605,1.462
word0130,ADULTERAR,ADULTERATE,3.686,1.827
word0131,ADULTO,ADULT,3.057,1.984
word0132,ADVERTENCIA,WARNING,4.029,1.623
word0133,ADVERTIR,WARN,3.429,1.577
word0134,AÉREA,AERIAL,2.882,1.665
word0135,AFÁN,EAGERNESS,2.824,1.507
word0136,AFECTAR,AFFECT,3.824,1.783
word0137,AFECTO,AFFECTION,4.939,1.456
word0138,AFEITAR,SHAVE,3.618,1.557
word0139,AFEITARSE,SHAVE,3.371,1.800
word0140,AFERRAR,GRASP,4.600,1.666
word0141,AFIANZAR,SECURE,3.088,1.694
word0142,AFICIÓN,HOBBY,4.457,1.633
word0143,AFILADA,SHARP,3.795,2.041
word0144,AFILADO,SHARP,4.086,1.560
word0145,AFILAR,SHARPEN,3.694,2.026
word0146,AFILIARSE,AFFILIATE,2.556,1.664
word0147,AFLIGIDO,SAD,3.706,1.467
word0148,AFORTUNADO,LUCKY,4.294,1.488
word0149,AFRONTAR,FACE,3.765,1.810
word0150,AGACHAR,BOW,2.765,1.327
word0151,AGACHARSE,BEND,3.382,1.985
word0152,AGARRAR,GRAB,3.538,1.790
word0153,AGARRARSE,HOLD,4.057,1.878
word0154,AGENCIA,AGENCY,2.395,1.669
word0155,AGENDA,DIARY,2.882,1.903
word0156,AGENTE,AGENT,2.618,1.371
word0157,ÁGIL,AGILE,3.919,1.876
word0158,AGILIDAD,AGILITY,4.114,1.623
word0159,AGILIZAR,SPEED,3.147,1.520
word0160,AGLOMERACIÓN,AGGLOMERATION,3.971,1.678
word0161,AGOBIADO,STRESSED,4.590,1.831
word0162,AGONÍA,AGONY,4.882,1.629
word0163,AGOSTO,AUGUST,5.486,1.774
word0164,AGRADABLE,NICE,4.676,1.532
word0165,AGRADAR,PLEASE,4.324,1.364
word0166,AGRADECER,THANK,4.914,1.634
word0167,AGRADECIDO,GRATEFUL,4.324,1.451
word0168,AGRARIO,AGRARIAN,3.242,1.821
word0169,AGREGAR,ADD,2.412,1.328
word0170,AGRESIÓN,AGGRESSION,5.206,1.149
word0171,AGRESIVA,VIRULENT,4.971,1.671
word0172,AGRESIVO,AGGRESSIVE,4.973,1.481
word0173,AGRIO,SOUR,4.686,1.997
word0174,AGRUPACIÓN,GROUP,3.371,1.664
word0175,AGUA,WATER,5.400,1.557
word0176,AGUANIEVE,SLEET,4.147,2.217
word0177,AGUANTAR,ENDURE,4.514,2.005
word0178,AGUDIZAR,SHARPEN,3.257,1.669
word0179,AGUDO,ACUTE,4.324,1.918
word0180,AGUIJÓN,STING,4.405,1.950
word0181,ÁGUILA,EAGLE,3.921,1.836
word0182,AGUJA,NEEDLE,4.529,1.830
word0183,AGUJEREAR,PIERCE,3.029,1.605
word0184,AHOGARSE,DROWN,4.588,1.956
word0185,AHORCAR,HANG,4.333,2.144
word0186,AHORRAR,SAVE,4.231,1.580
word0187,AIRE,AIR,4.618,1.498
word0188,AJEDREZ,CHESS,3.657,1.999
word0189,AJO,GARLIC,4.297,2.271
word0190,AJUSTAR,ADJUST,2.771,1.497
word0191,ALA,WING,3.846,1.927
word0192,ALARDEAR,BOAST,3.629,1.816
word0193,ALARGAR,ENLARGE,3.378,1.656
word0194,ALARGARSE,WIDEN,3.486,1.837
word0195,ALARMA,ALARM,4.676,1.930
word0196,ALBA,SUNRISE,4.324,1.838
word0197,ALBOROZO,JOY,2.412,1.438
word0198,ÁLBUM,ALBUM,4.400,2.003
word0199,ALCACHOFA,ARTICHOKE,3.147,2.047
word0200,ALCALDE,MAYOR,2.706,1.567
word0201,ALCALINA,ALKALINE,1.676,1.036
word0202,ALCANTARILLAR,SEWER,2.559,1.541
word0203,ALCANZAR,REACH,4.457,1.884
word0204,ALCOBA,BEDROOM,2.794,1.493
word0205,ALCOHÓLICA,ALCOHOLIC,4.794,1.431
word0206,ALCOHÓLICO,ALCOHOLIC,4.618,1.670
word0207,ALCORNOQUE,CORK,2.914,1.869
word0208,ALDEA,VILLAGE,3.314,1.875
word0209,ALEGAR,ALLEGE,2.763,1.923
word0210,ALEGORÍA,ALLEGORY,2.447,1.719
word0211,ALEGRAR,GLADDEN,5.265,1.310
word0212,ALEGRE,CHEERFUL,5.400,1.519
word0213,ALEJAR,MOVE,3.471,1.376
word0214,ALEJARSE,WANDER,3.941,1.613
word0215,ALEMÁN,GERMAN,3.571,1.836
word0216,ALERGIA,ALLERGY,4.974,1.619
word0217,ALÉRGICA,ALLERGIC,4.629,1.800
word0218,ALERTA,ALERT,4.265,1.582
word0219,ALERTAR,ALERT,3.538,1.985
word0220,ALFA,ALPHA,2.571,1.668
word0221,ALFABETO,ALPHABET,2.857,1.865
word0222,ALFOMBRA,CARPET,2.471,1.482
word0223,ALGARABÍA,HULLABALOO,2.829,1.774
word0224,ALICATES,PLIERS,2.353,1.276
word0225,ALIMENTAR,FEED,5.472,1.383
word0226,ALIMENTARSE,NOURISH,5.000,2.000
word0227,ALIMENTO,FOOD,6.051,1.146
word0228,ALISTAR,ENLIST,2.686,1.605
word0229,ALIVIAR,RELIEVE,4.216,2.016
word0230,ALMA,SOUL,4.514,1.976
word0231,ALMADRABA,ALMADRABA,1.667,1.219
word0232,ALMENDRA,ALMOND,4.053,1.958
word0233,ALMIDÓN,STARCH,2.882,1.665
word0234,ALMOHADA,PILLOW,4.529,1.600
word0235,ALMORZAR,EAT,5.171,1.689
word0236,ALMUERZO,LUNCH,4.730,1.953
word0237,ALOJARSE,STAY,3.514,1.758
word0238,ALQUILAR,RENT,2.222,1.355
word0239,ALTA,HIGH,3.676,1.916
word0240,ALTAR,ALTAR,3.441,1.812
word0241,ALTERAR,ALTER,4.147,1.438
word0242,ALTO,HIGH,3.605,1.824
word0243,ALUDIR,ALLUDE,2.857,1.478
word0244,ALUMBRAR,ILLUMINATE,4.229,1.734
word0245,ALUMINIO,ALUMINUM,2.559,1.375
word0246,ALUMNO,STUDENT,3.686,1.623
word0247,ALZAR,RAISE,2.947,1.692
word0248,AMABILIDAD,KINDNESS,5.114,1.605
word0249,AMABLE,KIND,4.676,1.718
word0250,AMADO,LOVED,5.514,1.616
word0251,AMAMANTAR,BREASTFEED,4.457,1.597
word0252,AMANECER,DAWN,5.424,1.521
word0253,AMAR,LOVE,6.371,0.808
word0254,AMARGO,BITTER,5.265,1.543
word0255,AMARILLA,YELLOW,3.559,1.894
word0256,AMARILLO,YELLOW,3.806,1.802
word0257,AMARRAR,TIE,3.029,1.487
word0258,AMASAR,KNEAD,3.235,1.892
word0259,AMATISTA,AMETHYST,2.500,1.600
word0260,ÁMBAR,AMBER,3.500,1.581
word0261,AMBICIÓN,AMBITION,3.676,1.804
word0262,AMBIENTAR,ADORN,3.771,1.610
word0263,AMBIENTE,ENVIRONMENT,3.949,1.731
word0264,ÁMBITO,SCOPE,2.941,1.757
word0265,AMBULANCIA,AMBULANCE,5.139,1.839
word0266,AMENAZA,THREAT,4.657,1.748
word0267,AMENAZAR,THREATEN,4.000,1.875
word0268,AMENO,PLEASANT,3.684,1.817
word0269,AMERICANA,JACKET,2.765,1.350
word0270,AMERICANO,AMERICAN,3.147,1.579
word0271,AMETRALLAR,MACHINE-GUN,4.529,1.911
word0272,AMIGABLE,FRIENDLY,4.314,1.451
word0273,AMIGO,FRIEND,5.735,1.286
word0274,AMINORAR,LESSEN,2.500,1.562
word0275,AMISTAD,FRIENDSHIP,5.588,1.579
word0276,AMO,OWNER,3.706,2.038
word0277,AMOLDAR,SHAPE,2.974,1.867
word0278,AMONTONAR,PILE,3.176,1.527
word0279,AMOR,LOVE,6.235,0.987
word0280,AMORDAZAR,GAG,4.206,2.042
word0281,AMOROSO,LOVING,5.686,1.323
word0282,AMORTIZAR,AMORTIZE,2.737,1.781
word0283,AMPLIAR,ENLARGE,2.794,1.591
word0284,AMPLIO,LARGE,2.735,1.675
word0285,AMPLITUD,AMPLITUDE,2.886,1.530
word0286,AMPOLLA,BLISTER,3.892,1.776
word0287,AMPUTAR,AMPUTATE,4.618,1.758
word0288,AMUEBLAR,FURNISH,2.943,1.748
word0289,ANÁLISIS,ANALYSIS,2.853,1.598
word0290,ANALIZAR,ANALYZE,2.892,1.712
word0291,ANALOGÍA,ANALOGY,2.103,1.231
word0292,ANATOMÍA,ANATOMY,4.571,1.787
word0293,ANCHA,BROAD,2.879,1.556
word0294,ANCHO,WIDE,2.528,1.464
word0295,ANCLA,ANCHOR,3.324,1.944
word0296,ANDAR,HIKE,4.265,1.797
word0297,ANDÉN,PLATFORM,3.629,1.926
word0298,ANÉCDOTA,ANECDOTE,4.059,1.774
word0299,ANFITRIÓN,HOST,3.359,1.814
word0300,ÁNGEL,ANGEL,4.571,1.899
word0301,ÁNGULO,ANGLE,2.514,1.314
word0302,ANGUSTIA,ANGUISH,4.743,1.771
word0303,ANGUSTIADO,ANXIOUS,4.513,1.848
word0304,ANHELAR,LONG,4.892,1.868
word0305,ANHELO,DESIRE,3.735,2.020
word0306,ANILLO,RING,4.400,1.735
word0307,ANIMADO,LIVELY,4.441,1.580
word0308,ANIMADOS,ANIMATED,3.629,1.536
word0309,ANIMAL,ANIMAL,5.243,1.722
word0310,ANIMAR,ENCOURAGE,4.743,1.578
word0311,ÁNIMO,SPIRIT,4.714,1.808
word0312,ANÍS,ANISE,4.200,1.812
word0313,ANOCHECER,DUSK,5.382,1.393
word0314,ÁNODO,ANODE,1.765,1.156
word0315,ANONADAR,ASTONISH,3.184,1.843
word0316,ANÓNIMA,ANONYMOUS,3.353,1.739
word0317,ANORMAL,ABNORMAL,3.588,1.520
word0318,ANOTAR,NOTE,2.784,1.512
word0319,ANSIA,YEARNING,3.971,1.642
word0320,ANSIEDAD,ANXIETY,5.771,1.477
word0321,ANSIOSO,ANXIOUS,4.412,1.579
word0322,ANTECEDENTE,PRECEDENT,2.778,1.641
word0323,ANTECEDER,PRECEDE,2.571,1.481
word0324,ANTECESOR,ANCESTOR,2.629,1.497
word0325,ANTENA,ANTENNA,2.639,1.869
word0326,ANTEPONER,PREFER,3.000,1.455
word0327,ANTERIOR,PREVIOUS,2.412,1.417
word0328,ANTERIORES,PREVIOUS,2.410,1.499
word0329,ANTESALA,ANTEROOM,2.176,1.267
word0330,ANTIBALAS,BULLETPROOF,3.000,1.821
word0331,ANTICUARIO,ANTIQUARIAN,2.925,1.873
word0332,ANTÍDOTO,ANTIDOTE,3.794,1.789
word0333,ANTIGUA,ANCIENT,3.395,1.748
word0334,ANTIGUO,OLD,3.333,1.586
word0335,ANTIPÁTICO,UNFRIENDLY,4.000,1.537
word0336,ANTISOCIAL,ANTISOCIAL,4.235,1.634
word0337,ANTOJO,WHIM,4.211,1.773
word0338,ANTOLOGÍA,ANTHOLOGY,2.229,1.190
word0339,ANTORCHA,TORCH,3.750,1.962
word0340,ANUAL,ANNUAL,2.657,1.644
word0341,ANULAR,NULLIFY,2.941,1.650
word0342,ANUNCIAR,ANNOUNCE,2.676,1.532
word0343,AÑADIDURA,ADDITION,2.108,1.329
word0344,AÑADIR,ADD,2.500,1.462
word0345,AÑICOS,PIECES,4.000,1.782
word0346,AÑO,YEAR,3.500,2.078
word0347,AÑORAR,MISS,4.892,1.926
word0348,APACIGUAR,APPEASE,3.158,1.809
word0349,APAGAR,EXTINGUISH,3.743,1.686
word0350,APARADOR,SIDEBOARD,2.206,1.553
word0351,APARATO,DEVICE,2.632,1.667
word0352,APARCAR,PARK,2.919,1.876
word0353,APARECER,APPEAR,3.441,1.440
word0354,APARICIÓN,APPEARANCE,3.382,1.538
word0355,APARIENCIA,APPEARANCE,3.711,1.844
word0356,APARTAR,SEPARATE,2.914,1.502
word0357,APELAR,APPEAL,2.351,1.531
word0358,APELATIVO,NICKNAME,2.632,1.618
word0359,APELLIDAR,SURNAME,2.949,1.849
word0360,APÉNDICE,APPENDIX,2.706,1.567
word0361,APERITIVO,APPETIZER,4.353,1.612
word0362,APERTURA,OPENING,3.171,1.581
word0363,APESTAR,STINK,4.919,2.005
word0364,APETECER,CRAVE,4.971,1.507
word0365,APETENCIA,APPETITE,3.000,1.576
word0366,ÁPICE,APEX,2.162,1.424
word0367,APLASTADO,SMASHED,3.853,1.635
word0368,APLASTAR,SMASH,3.676,1.532
word0369,APLAUDIR,APPLAUD,4.500,1.797
word0370,APLAUSOS,APPLAUSE,4.647,1.412
word0371,APLICADO,APPLIED,3.229,1.832
word0372,APOGEO,APOGEE,3.364,1.765
word0373,APORREAR,BEAT,3.735,1.959
word0374,APOSTAR,BET,3.971,1.855
word0375,APÓSTOL,APOSTLE,2.600,1.802
word0376,APOTEOSIS,APOTHEOSIS,3.550,1.934
word0377,APOYAR,SUPPORT,4.029,1.774
word0378,APOYARSE,LEAN,3.206,1.553
word0379,APRENDER,LEARN,4.765,1.860
word0380,APRESURAR,HURRY,3.543,1.559
word0381,APRETADO,TIGHT,4.118,1.320
word0382,APRETAR,SQUEEZE,4.026,1.724
word0383,APROBACIÓN,APPROVAL,4.029,1.902
word0384,APROBAR,APPROVE,4.528,2.091
word0385,APROVECHAR,LEVERAGE,3.441,1.709
word0386,APROXIMAR,APPROACH,3.143,1.498
word0387,APTO,SUITABLE,3.559,1.862
word0388,APURAR,RUSH,3.294,1.661
word0389,APUROS,TROUBLES,3.471,1.600
word0390,ÁRABE,ARAB,3.676,1.552
word0391,ARAÑA,SPIDER,4.868,1.934
word0392,ARAÑAR,SCRATCH,4.784,1.734
word0393,ARAR,PLOW,3.000,1.677
word0394,ÁRBITRO,REFEREE,2.853,1.329
word0395,ÁRBOL,TREE,4.088,1.832
word0396,ARCA,ARK,2.600,1.752
word0397,ARCHIVO,ARCHIVE,2.500,1.523
word0398,ARCO,ARC,3.206,1.754
word0399,ARCOÍRIS,RAINBOW,5.054,1.508
word0400,ARDER,BURN,5.429,1.614
word0401,ARDIENTE,SCALDING,4.816,1.608
word0402,ARDILLA,CHIPMUNK,3.429,1.596
word0403,ARDOR,BURNING,4.971,1.740
word0404,ÁREA,AREA,2.882,1.737
word0405,ARENA,SAND,4.200,1.844
word0406,ARGOT,SLANG,2.410,1.802
word0407,ARGUMENTAR,ARGUE,3.083,2.005
word0408,ARGUMENTO,ARGUMENT,3.200,1.549
word0409,ARISTOCRACIA,ARISTOCRACY,3.184,1.915
word0410,ARITMÉTICA,ARITHMETIC,2.231,1.385
word0411,ARMA,WEAPON,4.412,1.760
word0412,ARMAR,ASSEMBLE,3.794,1.789
word0413,ARMARIO,CLOSET,3.282,1.919
word0414,ARMAZÓN,SHELL,2.371,1.592
word0415,ARMONÍA,HARMONY,4.914,1.652
word0416,ARMÓNICA,HARMONICA,4.606,2.150
word0417,AROMA,SCENT,5.486,1.597
word0418,ARPA,HARP,3.853,2.350
word0419,ARQUETIPO,ARCHETYPE,1.857,1.089
word0420,ARRANCAR,PULL,4.026,1.461
word0421,ARRASTRAR,DRAG,3.353,1.346
word0422,ARRASTRARSE,CRAWL,4.029,1.562
word0423,ARREBATO,OUTBURST,4.108,1.868
word0424,ARREGLAR,FIX,3.800,1.712
word0425,ARREGLO,ARRANGEMENT,2.882,1.719
word0426,ARREPENTIDO,REPENTANT,4.265,1.880
word0427,ARREPENTIRSE,REGRET,4.265,1.763
word0428,ARRESTAR,DETAIN,3.500,1.441
word0429,ARROGANTE,ARROGANT,4.286,1.725
word0430,ARROYO,STREAM,3.914,1.991
word0431,ARROZ,RICE,4.118,2.012
word0432,ARRUGADO,WRINKLED,4.343,1.781
word0433,ARRUGAR,WRINKLE,3.921,1.865
word0434,ARRUINAR,RUIN,3.794,1.981
word0435,ARTE,ART,4.750,2.062
word0436,ARTEFACTO,ARTIFACT,3.343,1.846
word0437,ARTESANAL,HANDCRAFTED,3.472,1.781
word0438,ARTICULAR,ARTICULATE,2.618,1.670
word0439,ARTÍCULO,ARTICLE,2.722,1.717
word0440,ARTIFICIAL,ARTIFICIAL,3.686,1.937
word0441,ARTIFICIO,ARTIFICE,2.382,1.457
word0442,ARTILUGIO,GADGET,2.029,1.167
word0443,ARTÍSTICO,ARTISTIC,4.941,1.516
word0444,ARZOBISPO,ARCHBISHOP,2.441,1.481
word0445,AS,ACE,2.059,1.369
word0446,ASALARIAR,EMPLOY,2.543,1.597
word0447,ASALTAR,ASSAULT,3.757,1.921
word0448,ASAMBLEA,ASSEMBLY,2.974,1.515
word0449,ASCENDER,ASCEND,4.486,1.401
word0450,ASCENSOR,ELEVATOR,3.543,1.788
word0451,ASCÉTICA,ASCETIC,1.743,1.172
word0452,ASCO,DISGUST,4.912,1.334
word0453,ASEARSE,WASH,4.588,1.760
word0454,ASEDIADO,BESIEGED,2.686,1.568
word0455,ASESINAR,KILL,5.324,1.827
word0456,ASESINO,KILLER,5.167,1.920
word0457,ASESOR,ADVISER,2.692,1.719
word0458,ASESORAR,ADVISE,2.583,1.713
word0459,ASESORARSE,CONSULT,2.588,1.417
word0460,ASFALTAR,ASPHALT,2.824,1.714
word0461,ASFIXIAR,ASPHYXIATE,5.216,2.016
word0462,ASFIXIARSE,SUFFOCATE,5.000,2.077
word0463,ASIENTO,SEAT,2.588,1.209
word0464,ASIGNATURA,SUBJECT,3.057,1.814
word0465,ASILO,ASYLUM,3.455,1.697
word0466,ASISTENCIA,ASSISTANCE,2.816,1.706
word0467,ASISTENTE,PARTICIPANT,2.514,1.627
word0468,ASISTIR,ATTEND,3.054,1.794
word0469,ASMA,ASTHMA,4.132,1.961
word0470,ASOMAR,APPEAR,3.265,1.504
word0471,ASOMBRADO,AMAZED,4.237,1.822
word0472,ASONANTE,ASSONANT,2.714,1.903
word0473,ÁSPERO,ROUGH,4.647,1.649
word0474,ASPIRAR,ASPIRE,4.000,1.633
word0475,ASQUEADO,DISGUSTED,4.412,1.500
word0476,ASQUEROSA,DISGUSTING,4.600,1.818
word0477,ASQUEROSO,FILTHY,4.667,1.991
word0478,ASTRONAUTA,ASTRONAUT,3.743,1.788
word0479,ASTUCIA,CUNNING,3.222,1.807
word0480,ASTUTO,ASTUTE,3.194,1.687
word0481,ASUMIR,ASSUME,3.514,1.721
word0482,ASUNTO,MATTER,2.816,1.784
word0483,ASUSTADO,SCARED,4.564,1.729
word0484,ASUSTAR,FRIGHTEN,5.086,1.422
word0485,ASUSTARSE,SCARE,4.941,1.922
word0486,ATACAR,ATTACK,3.944,1.926
word0487,ATAQUE,ATTACK,4.286,1.673
word0488,ATAR,TIE,3.657,1.893
word0489,ATARDECER,SUNSET,5.686,1.471
word0490,ATAÚD,COFFIN,4.857,1.942
word0491,ATENDER,HELP,3.513,1.945
word0492,ATENTAR,ATTACK,4.118,1.493
word0493,ATENTO,ATTENTIVE,3.618,1.843
word0494,ATERRIZAR,LAND,4.206,1.754
word0495,ATERRORIZADO,TERRIFIED,4.588,1.828
word0496,ATESTIGUAR,TESTIFY,1.970,1.212
word0497,ÁTICO,PENTHOUSE,3.595,1.863
word0498,ATISBAR,GLIMPSE,2.000,1.139
word0499,ATLAS,ATLAS,2.389,1.379
word0500,ATLETA,ATHLETE,4.056,1.999
word0501,ATMÓSFERA,ATMOSPHERE,4.200,1.232
word0502,ATMOSFÉRICO,ATMOSPHERIC,3.353,1.535
word0503,ÁTOMO,ATOM,3.088,1.815
word0504,ATONTAR,STUN,3.000,1.556
word0505,ATORMENTAR,TORTURE,4.371,1.848
word0506,ATORNILLAR,SCREW,3.000,1.985
word0507,ATRACADOR,ROBBER,3.941,1.938
word0508,ATRAER,ATTRACT,4.486,2.063
word0509,ATRAPAR,CATCH,3.629,1.664
word0510,ATRAVESAR,CROSS,3.629,1.610
word0511,ATREVER,DARE,3.395,2.007
word0512,ATREVIDO,DARING,4.176,1.424
word0513,ATRIBUIR,ATTRIBUTE,2.543,1.462
word0514,ATRIBUTO,CHARACTERISTIC,2.389,1.871
word0515,ATROCIDAD,ATROCITY,4.059,1.575
word0516,ATROPELLAR,TRAMPLE,5.114,1.795
word0517,ATÚN,TUNA,3.765,2.075
word0518,AUDAZ,BOLD,3.000,1.707
word0519,AUDIENCIA,AUDIENCE,4.029,2.051
word0520,AUDITIVO,AUDITORY,5.206,2.042
word0521,AUDITORIO,AUDITORIUM,3.735,1.847
word0522,AUGE,BOOM,2.892,1.897
word0523,AULA,CLASSROOM,3.611,1.809
word0524,AUMENTAR,INCREASE,3.543,1.597
word0525,AUMENTO,INCREASE,2.833,1.828
word0526,AURA,AURA,3.676,1.736
word0527,AURORA,DAYBREAK,4.771,1.864
word0528,AUSENCIA,ABSENCE,4.400,2.003
word0529,AUSENTAR,ABSENT,2.706,1.426
word0530,AUSENTARSE,EXCUSE,2.765,1.394
word0531,AUSENTE,MISSING,3.088,1.357
word0532,AUTÉNTICA,AUTHENTIC,4.256,1.773
word0533,AUTENTIFICAR,AUTHENTICATE,2.765,1.689
word0534,AUTOBÚS,BUS,4.118,1.950
word0535,AUTÓMATA,AUTOMATON,2.441,1.260
word0536,AUTOMÁTICO,AUTOMATIC,2.879,1.691
word0537,AUTOMÓVIL,AUTOMOBILE,3.647,1.773
