Item#,Property,Familiarity,VisualStrengthMean,HapticStrengthMean,AuditoryStrengthMean,OlfactoryStrengthMean,GustatoryStrengthMean,VisualStrengthSD,HapticStrengthSD,AuditoryStrengthSD,OlfactoryStrengthSD,GustatoryStrengthSD,DominantModality,ModalityExclusivity,BNCFrequency,BNCLogFrequency,OrthographicLength
36,booming,1,2.095238095,0.952380952,4.571428571,0.095238095,0.095238095,1.670471847,1.203170415,0.810643483,0.300792604,0.43643578,Auditory,0.573170732,3,1.386294361,7
37,bouncy,1,3.571428571,3.666666667,2,0,0,1.207121724,1.559914528,1.61245155,0,0,Haptic,0.396907216,1,0.693147181,6
38,brackish,0.095238095,2,3,1.5,2,1.5,1.414213562,1.414213562,2.121320344,2.828427125,2.121320344,Haptic,0.15,1,0.693147181,8
39,branching,0.952380952,4.1,2.45,1.2,0.1,0.05,0.967906042,1.571958216,1.673320053,0.307793506,0.223606798,Visual,0.512658228,3,1.386294361,9
40,breakable,1,4.285714286,4.238095238,2.095238095,0.095238095,0.095238095,0.902377811,0.889087279,1.757975026,0.300792604,0.300792604,Visual,0.387665198,0,0,9
41,breezy,1,3,2.761904762,2.952380952,0.571428571,0.047619048,1.341640786,1.786190413,1.359271514,1.325572653,0.21821789,Visual,0.316326531,1,0.693147181,6
42,bright,1,5,0.19047619,0.142857143,0.095238095,0.047619048,0,0.679635757,0.478091444,0.43643578,0.21821789,Visual,0.904347826,54,4.007333185,6
43,brilliant,1,3.952380952,2.19047619,3,2.095238095,2.523809524,1.283596139,2.271982562,1.870828693,2.071346468,2.112322126,Visual,0.134948097,35,3.583518938,9
44,briny,0.619047619,2.153846154,1.538461538,0.846153846,2.153846154,3.230769231,1.863963244,1.71344607,1.28102523,1.908147175,1.921537846,Gustatory,0.240310078,0,0,5
45,bristly,0.952380952,4.3,4.65,1.95,0.2,1.05,0.864504726,1.136708082,1.503504678,0.695852374,1.468081455,Haptic,0.366255144,0,0,7
46,brittle,1,3.428571429,3.952380952,1.523809524,0.047619048,0.380952381,1.121223821,1.160869953,1.400680107,0.21821789,0.973457265,Haptic,0.418367347,5,1.791759469,7
47,broad,0.952380952,4.047619048,3.095238095,0.952380952,0.285714286,0.19047619,1.359271514,1.786190413,1.627150592,0.643650304,0.511766316,Visual,0.45,49,3.912023005,5
48,broken,1,4.857142857,4.333333333,3.19047619,0.476190476,0.476190476,0.358568583,1.016530045,1.600595127,1.249761882,1.289148852,Visual,0.328571429,72,4.290459441,6
49,bronze,0.952380952,4.333333333,0.80952381,0.142857143,0.619047619,0.285714286,1.390443574,1.167006753,0.654653671,1.244033379,0.783763813,Visual,0.676923077,15,2.772588722,6
50,brown,1,4.714285714,0.19047619,0.095238095,0.238095238,0.333333333,1.10194633,0.511766316,0.43643578,0.624880941,0.856348839,Visual,0.829059829,48,3.891820298,5
51,brunette,0.952380952,4.8,0,0.1,0,0,0.894427191,0,0.307793506,0,0,Visual,0.979591837,1,0.693147181,8
52,bulky,1,4.428571429,3.761904762,0.571428571,0.095238095,0.333333333,0.810643483,1.374945886,1.207121724,0.43643578,0.795822426,Visual,0.471502591,3,1.386294361,5
53,bumpy,1,4.095238095,4.476190476,1.238095238,0.047619048,0.65,1.04425868,0.813575296,1.445847914,0.21821789,1.182103388,Haptic,0.421481985,2,1.098612289,5
54,burning,1,4.047619048,3.619047619,1.714285714,4.428571429,2.523809524,1.07126983,1.657594356,1.707127914,0.978336781,2.015416771,Olfactory,0.166180758,28,3.36729583,7
55,burnt,1,4.19047619,2.380952381,0.476190476,4.571428571,4.047619048,0.980767435,1.745743122,1.123345344,0.597614305,0.920662287,Olfactory,0.261398176,13,2.63905733,5
56,bursting,1,4.238095238,3.238095238,2.761904762,1,1.19047619,1.04425868,1.670471847,1.813966976,1.549193338,1.778174559,Visual,0.260536398,5,1.791759469,8
57,buttery,1,3.095238095,1.80952381,0.095238095,3.19047619,4.904761905,1.135991281,1.327367606,0.300792604,1.123345344,0.300792604,Gustatory,0.367272727,0,0,7
58,buzzing,1,1.80952381,1.714285714,4.714285714,0.047619048,0.142857143,1.400680107,1.585649934,0.783763813,0.21821789,0.478091444,Auditory,0.553672316,3,1.386294361,7
59,caramelised,1,3.523809524,1.428571429,0.285714286,3.904761905,4.380952381,1.289148852,1.468721504,0.560611911,1.220850601,1.203170415,Gustatory,0.302816901,0,0,11
60,charred,0.904761905,3.684210526,1.684210526,0.157894737,3.315789474,2.421052632,1.108183277,1.66842013,0.374634325,1.796683104,1.952656011,Visual,0.313084112,2,1.098612289,7
61,cheesy,1,3.047619048,0.476190476,0.666666667,4.19047619,4.714285714,1.657594356,0.980767435,1.316561177,1.077916862,0.560611911,Gustatory,0.323636364,0,0,6
62,chequered,0.904761905,4.473684211,0.263157895,0.105263158,0,0,0.964274111,0.561951487,0.315301768,0,0,Visual,0.923913043,1,0.693147181,9
63,chewy,1,2.571428571,2.047619048,1.333333333,0.619047619,4.476190476,1.660464651,1.802115159,1.390443574,1.07126983,1.400680107,Gustatory,0.349137931,0,0,5
64,chilly,1,2.952380952,4.19047619,0.666666667,0.571428571,1.285714286,1.359271514,1.167006753,1.316561177,1.028174527,1.901127485,Haptic,0.374384236,4,1.609437912,6
65,chocolatey,1,4.19047619,1,0.333333333,4.523809524,4.952380952,1.167006753,1.264911064,1.064581295,0.74960307,0.21821789,Gustatory,0.307936508,0,0,9
66,chubby,1,4.952380952,4.095238095,0.428571429,0.571428571,0.19047619,0.21821789,1.220850601,1.075705748,1.325572653,0.679635757,Visual,0.465116279,1,0.693147181,6
67,circular,1,4.761904762,3.857142857,0.142857143,0,0.095238095,0.538958431,1.424279266,0.358568583,0,0.43643578,Visual,0.537634409,19,2.995732274,8
68,citrusy,1,2.571428571,0.571428571,0.047619048,3.952380952,5,1.468721504,0.978336781,0.21821789,0.804747816,0,Gustatory,0.407843137,0,0,7
69,clammy,0.952380952,2.75,4.35,0.4,1.45,0.6,1.618153594,1.386969434,0.820782682,1.731290969,1.142481141,Haptic,0.413612565,1,0.693147181,6
70,clamorous,0.380952381,2.25,2.875,2.375,0.875,0.125,1.488047618,2.167124494,2.326094213,1.356202682,0.353553391,Haptic,0.323529412,0,0,9
71,clean,1,4.619047619,3.333333333,0.571428571,3.80952381,1.80952381,0.804747816,1.591644852,0.978336781,1.289148852,1.778174559,Visual,0.286195286,64,4.17438727,5
72,clear,1,4.523809524,1.238095238,2.523809524,1.047619048,0.571428571,0.813575296,1.640267109,2.064438123,1.532194194,1.207121724,Visual,0.399038462,255,5.545177444,5
73,cloudy,1,4.714285714,0.285714286,0.142857143,0.142857143,0.333333333,0.783763813,0.643650304,0.478091444,0.478091444,0.795822426,Visual,0.813559322,3,1.386294361,6
74,cloying,0.142857143,1.666666667,1.75,0.333333333,2.333333333,3.333333333,1.527525232,2.061552813,0.577350269,2.516611478,2.886751346,Gustatory,0.318584071,1,0.693147181,7
75,coconutty,1,3.619047619,1.523809524,0.19047619,3.619047619,4.666666667,1.465475707,1.435933411,0.679635757,1.532194194,0.795822426,Gustatory,0.328671329,0,0,9
76,cold,1,2.857142857,4.666666667,0.761904762,0.952380952,2.380952381,1.651838802,0.658280589,1.179184545,1.395571226,1.802115159,Haptic,0.336065574,122,4.812184355,4
77,colossal,0.761904762,4.875,2.294117647,1.6875,0.5625,0.3125,0.5,1.829094922,1.778341924,1.364734406,0.87321246,Visual,0.468832641,2,1.098612289,8
78,colourful,1,4.80952381,0.238095238,0.19047619,0.428571429,0.333333333,0.872871561,0.700340053,0.511766316,1.028174527,0.912870929,Visual,0.76984127,11,2.48490665,9
79,compact,1,4.761904762,2.904761905,0.476190476,0.19047619,0.285714286,0.538958431,1.729299335,1.123345344,0.601585208,0.717137166,Visual,0.53038674,17,2.890371758,7
80,conical,0.619047619,4.692307692,4.076923077,0.153846154,0,0.076923077,0.630425172,1.320450584,0.375533808,0,0.277350098,Visual,0.521367521,2,1.098612289,7
81,contoured,0.952380952,4.15,3.6,0.35,0.1,0.05,0.812727701,1.465390194,0.933302004,0.307793506,0.223606798,Visual,0.496969697,0,0,9
82,cooing,0.904761905,2.157894737,0.105263158,4.842105263,0,0,1.344253527,0.458831468,0.501459857,0,0,Auditory,0.681481481,0,0,6
83,cool,1,2.428571429,4.333333333,0.380952381,0.285714286,1.857142857,1.362770288,0.856348839,0.804747816,0.560611911,1.590148241,Haptic,0.435897436,40,3.713572067,4
84,crackling,1,2.80952381,1.380952381,4.285714286,0.904761905,1.333333333,1.364516311,1.283596139,0.956182887,0.995226703,1.527525232,Auditory,0.315555556,2,1.098612289,9
85,craggy,0.714285714,3.466666667,2.666666667,1,0.133333333,0.133333333,1.35576371,1.838736626,1.253566341,0.351865775,0.516397779,Visual,0.45045045,1,0.693147181,6
86,crashing,1,4.619047619,1.238095238,4.571428571,0.523809524,0.142857143,0.497613352,1.546116487,0.746420027,1.030487633,0.654653671,Visual,0.403433476,5,1.791759469,8
87,creaking,1,2.047619048,1.142857143,4.476190476,0,0,1.465475707,1.31475147,0.813575296,0,0,Auditory,0.583850932,2,1.098612289,8
88,creamy,1,3.80952381,2.761904762,0.19047619,2.380952381,4.476190476,1.503963019,1.757975026,0.511766316,1.856776521,1.209092537,Gustatory,0.314685315,4,1.609437912,6
89,creased,0.952380952,4.7,3.65,0.15,0.15,0.15,0.656946685,1.225818738,0.489360485,0.670820393,0.670820393,Visual,0.517045455,2,1.098612289,7
90,crimson,1,4.428571429,0.285714286,0.19047619,0.095238095,0.047619048,1.207121724,0.902377811,0.601585208,0.43643578,0.21821789,Visual,0.867924528,4,1.609437912,7
91,crinkled,1,4.619047619,4.619047619,2.714285714,0.238095238,0.904761905,0.589592272,0.669043382,1.847778589,0.768424486,1.578124263,Visual,0.334545455,0,0,8
92,crisp,1,3.095238095,3.380952381,2.047619048,1.142857143,2.666666667,1.338086765,1.203170415,1.883512423,1.276154939,1.591644852,Haptic,0.181467181,8,2.197224577,5
93,crooked,1,4.476190476,3.571428571,0.619047619,0.142857143,0.19047619,0.813575296,1.502379066,1.160869953,0.654653671,0.679635757,Visual,0.481481481,3,1.386294361,7
94,crowded,1,4.619047619,2.285714286,3.714285714,0.761904762,0,0.589592272,1.616875293,0.956182887,1.091089451,0,Visual,0.405857741,15,2.772588722,7
95,crunching,1,2.142857143,2.142857143,3.714285714,0.428571429,3.047619048,1.558387445,1.558387445,1.10194633,1.075705748,1.532194194,Auditory,0.286307054,1,0.693147181,9
96,crying,1,4.428571429,1.238095238,4.476190476,0.047619048,0.142857143,1.075705748,1.757975026,0.74960307,0.21821789,0.478091444,Auditory,0.428571429,20,3.044522438,6
97,curly,1,4.761904762,3.857142857,0,0,0.285714286,0.889087279,1.236354087,0,0,0.643650304,Visual,0.534759358,4,1.609437912,5
98,curved,0.952380952,4.5,3.95,0.1,0,0.105263158,0.945905303,1.234376041,0.307793506,0,0.315301768,Visual,0.519914868,11,2.48490665,6
99,cute,1,4.761904762,1.666666667,3.142857143,0.80952381,0.380952381,0.538958431,1.825741858,1.590148241,1.400680107,0.920662287,Visual,0.407079646,3,1.386294361,4
100,damp,1,3.80952381,4.142857143,0.380952381,3.142857143,0.380952381,1.123345344,0.963624112,0.864649668,1.525965736,0.804747816,Haptic,0.317269076,20,3.044522438,4
101,dank,0.666666667,3.466666667,1.176470588,0.866666667,2.8,0.733333333,1.684664726,1.333945938,1.35576371,1.698739028,1.222799287,Visual,0.302254987,1,0.693147181,4
102,dappled,0.666666667,4,1.857142857,0.571428571,0.285714286,0.214285714,1.414213562,1.610405723,1.016349858,1.069044968,0.801783726,Visual,0.546391753,1,0.693147181,7
103,dark,1,4.428571429,0.19047619,0.714285714,0.19047619,0.523809524,1.247855303,0.402373908,1.10194633,0.511766316,1.123345344,Visual,0.700787402,135,4.912654886,4
104,dazzling,1,4.904761905,0.380952381,0.619047619,0.238095238,0.095238095,0.300792604,0.804747816,1.023532631,0.624880941,0.43643578,Visual,0.770992366,5,1.791759469,8
105,dead,1,4.095238095,2.428571429,1.380952381,2.333333333,0.238095238,1.513431925,1.660464651,1.657594356,1.770122406,0.624880941,Visual,0.368181818,124,4.828313737,4
106,deafening,1,1.238095238,0.19047619,5,0,0.047619048,1.261140829,0.679635757,0,0,0.21821789,Auditory,0.772058824,2,1.098612289,9
107,deep,1,4.428571429,3.619047619,2.095238095,0.380952381,0.285714286,0.676123404,1.596126263,1.786190413,1.07126983,0.956182887,Visual,0.383259912,107,4.682131227,4
108,delicious,1,3.380952381,1.333333333,1.333333333,4.19047619,4.714285714,1.774153051,1.770122406,2.008316044,1.167006753,0.643650304,Gustatory,0.22611465,11,2.48490665,9
109,dim,1,4.333333333,0.095238095,0.80952381,0.19047619,0.25,1.110555417,0.300792604,1.249761882,0.511766316,0.550119604,Visual,0.746331237,8,2.197224577,3
110,dirty,1,4.80952381,2.714285714,0.476190476,3.523809524,1.285714286,0.402373908,1.927248223,0.92838826,1.289148852,1.616875293,Visual,0.338289963,27,3.33220451,5
111,downy,0.714285714,3.333333333,2.75,0.133333333,0,0.133333333,1.5430335,2.236067977,0.351865775,0,0.516397779,Visual,0.524934383,1,0.693147181,5
112,drab,0.904761905,4.105263158,1.105263158,1.263157895,0.736842105,1.368421053,1.410072372,1.523692038,1.484815936,1.407997209,1.382852379,Visual,0.392638037,3,1.386294361,4
113,dry,1,3.571428571,4.285714286,0.333333333,0.428571429,2.523809524,1.287300609,1.055597326,0.912870929,0.676123404,1.88730092,Haptic,0.354700855,66,4.204692619,3
114,dull,1,4.285714286,0.571428571,2.333333333,1.19047619,1.238095238,0.845154255,0.870139562,1.879716291,1.778174559,1.729299335,Visual,0.386138614,19,2.995732274,4
115,dusty,1,4.285714286,3.380952381,0.05,1.19047619,0.380952381,1.055597326,1.160869953,0.223606798,1.289148852,1.160869953,Visual,0.456036914,8,2.197224577,5
116,earthy,1,3.952380952,3.428571429,1.047619048,3.095238095,2,1.160869953,1.247855303,1.627150592,1.757975026,2.213594362,Visual,0.214788732,1,0.693147181,6
117,echoing,1,0.523809524,0.333333333,4.714285714,0,0,0.980767435,0.795822426,0.717137166,0,0,Auditory,0.846153846,4,1.609437912,7
118,eggy,1,2.857142857,1.047619048,0.142857143,4.333333333,4.380952381,1.740279124,1.116968687,0.358568583,0.966091783,1.023532631,Gustatory,0.332089552,0,0,4
119,elastic,1,3.80952381,4.571428571,1.952380952,0.666666667,0.619047619,0.92838826,0.597614305,1.465475707,1.354006401,1.283596139,Haptic,0.340163934,5,1.791759469,7
120,elegant,1,4.761904762,1.523809524,1.857142857,1.095238095,0.666666667,0.538958431,1.249761882,1.558387445,1.546116487,1.154700538,Visual,0.413461538,18,2.944438979,7
121,empty,0.952380952,4.75,3.6,1.65,0.15,0.25,0.716350399,1.535543792,1.814415956,0.489360485,0.638666374,Visual,0.442307692,58,4.077537444,5
122,enormous,1,4.761904762,3.857142857,1.19047619,0.333333333,0.095238095,0.700340053,1.108409414,1.66189794,0.795822426,0.300792604,Visual,0.455813953,42,3.761200116,8
123,faint,1,2.761904762,0.619047619,2.333333333,1.857142857,1.428571429,1.89485519,1.023532631,2.008316044,1.796822592,1.804755623,Visual,0.238095238,16,2.833213344,5
124,falling,1,4.857142857,1.80952381,3,0.19047619,0.19047619,0.478091444,1.778174559,1.378404875,0.872871561,0.872871561,Visual,0.464454976,47,3.871201011,7
125,fat,1,4.619047619,3.761904762,0.380952381,0.952380952,1.55,0.804747816,1.445847914,0.804747816,1.596126263,1.791059669,Visual,0.376241809,46,3.850147602,3
126,fatty,1,3.666666667,1.857142857,0.333333333,1.714285714,4.380952381,0.966091783,1.458962449,0.912870929,1.45405836,1.116968687,Gustatory,0.338645418,6,1.945910149,5
127,feverish,0.952380952,2.857142857,3.19047619,0.666666667,0.285714286,0.238095238,1.492840055,1.600595127,0.966091783,0.902377811,0.889087279,Haptic,0.407894737,2,1.098612289,8
128,filthy,1,4.857142857,2,0.380952381,2.428571429,0.238095238,0.358568583,1.673320053,0.74001287,1.468721504,0.43643578,Visual,0.466346154,7,2.079441542,6
129,fishy,1,3.380952381,0.952380952,0.285714286,4.571428571,4.476190476,1.716863142,1.627150592,0.783763813,0.810643483,0.980767435,Olfactory,0.31358885,1,0.693147181,5
130,flaky,1,3.761904762,3.952380952,1.19047619,0.333333333,1.714285714,1.338086765,1.07126983,1.077916862,0.658280589,1.553797192,Haptic,0.330434783,0,0,5
131,flat,1,4.523809524,4.142857143,0.857142857,0.047619048,0.523809524,0.980767435,1.014185106,1.681835732,0.21821789,1.030487633,Visual,0.443396226,86,4.465908119,4
132,flavoursome,1,1.904761905,0.428571429,0.19047619,4.238095238,4.857142857,1.670471847,0.870139562,0.511766316,0.995226703,0.358568583,Gustatory,0.401639344,0,0,11
133,fleshy,1,4.285714286,3.571428571,0.095238095,0.904761905,2.15,0.845154255,1.362770288,0.300792604,1.220850601,1.87153188,Visual,0.38070517,2,1.098612289,6
134,flickering,1,4.761904762,0.571428571,1.285714286,0.095238095,0.095238095,0.700340053,0.746420027,1.488047618,0.300792604,0.43643578,Visual,0.685314685,4,1.609437912,10
135,floppy,1,4.238095238,4.19047619,0.142857143,0.142857143,0.238095238,0.995226703,1.077916862,0.478091444,0.654653671,0.700340053,Visual,0.457446809,5,1.791759469,6
136,floral,1,4.80952381,1.523809524,0.142857143,3.80952381,1.35,0.679635757,1.536848972,0.478091444,1.600595127,1.598519051,Visual,0.401064047,4,1.609437912,6
137,flowery,1,4.428571429,1.857142857,0,3.904761905,0.571428571,0.9258201,1.352246808,0,1.338086765,1.164964745,Visual,0.411504425,1,0.693147181,7
138,fluffy,1,4.047619048,4.571428571,0.333333333,0.333333333,1.095238095,1.283596139,0.746420027,0.730296743,1.064581295,1.410842369,Haptic,0.408256881,2,1.098612289,6
139,foamy,1,4.523809524,3.666666667,0.285714286,0.428571429,1.19047619,0.980767435,1.110555417,0.717137166,0.810643483,1.249761882,Visual,0.419811321,0,0,5
140,foetid,0.095238095,2.25,1.25,0,2.25,2.25,2.62995564,1.892969449,0,2.62995564,2.62995564,Olfactory,0.28125,0,0,6
141,foggy,1,4.761904762,0.80952381,0.333333333,0.476190476,0.095238095,0.700340053,1.327367606,0.730296743,0.92838826,0.300792604,Visual,0.720588235,1,0.693147181,5
142,forked,1,4.047619048,3.428571429,0.285714286,0.095238095,0.238095238,1.465475707,1.468721504,0.783763813,0.300792604,0.889087279,Visual,0.488235294,2,1.098612289,6
143,fragrant,1,0.952380952,0.238095238,0.238095238,5,2.761904762,1.321975434,0.624880941,0.538958431,0,1.445847914,Olfactory,0.518134715,3,1.386294361,8
144,freezing,1,3.952380952,4.761904762,0.666666667,0.619047619,2.095238095,1.283596139,0.624880941,1.016530045,1.023532631,2.047065263,Haptic,0.342519685,10,2.397895273,8
145,fresh,1,3.952380952,2.428571429,1,4.523809524,4.095238095,1.203170415,1.776835068,1.516575089,0.601585208,1.410842369,Olfactory,0.220238095,68,4.234106505,5
146,frosty,1,4.047619048,3.761904762,1.047619048,0.857142857,0.952380952,1.116968687,1.374945886,1.395571226,1.38873015,1.395571226,Visual,0.299107143,2,1.098612289,6
147,fruity,1,3.238095238,0.904761905,0.238095238,4.428571429,4.761904762,1.813966976,1.220850601,0.700340053,0.870139562,0.624880941,Gustatory,0.333333333,2,1.098612289,6
148,fuzzy,1,3.666666667,3.047619048,1.571428571,0,0.285714286,1.278019301,2.132514724,1.567527626,0,0.717137166,Visual,0.427777778,2,1.098612289,5
149,gamy,0.666666667,2.785714286,2.785714286,0.428571429,2.071428571,2.214285714,1.577659973,1.847183779,1.089409559,1.774359504,2.259290952,Haptic,0.229166667,0,0,4
150,garlicky,1,2.142857143,0.142857143,0.142857143,4.428571429,4.952380952,1.796822592,0.358568583,0.358568583,0.676123404,0.21821789,Gustatory,0.407258065,0,0,8
151,gigantic,1,4.714285714,3.285714286,1.380952381,0.19047619,0.142857143,0.560611911,1.847778589,1.627150592,0.511766316,0.478091444,Visual,0.470588235,4,1.609437912,8
152,giggling,1,3.952380952,0.571428571,4.714285714,0,0,0.920662287,1.028174527,0.717137166,0,0,Auditory,0.510309278,2,1.098612289,8
153,glamorous,1,4.666666667,1.571428571,1.714285714,1.238095238,0.238095238,0.577350269,1.567527626,1.82051798,1.670471847,0.700340053,Visual,0.46969697,6,1.945910149,9
154,gleaming,1,4.571428571,0.761904762,0.523809524,0.619047619,0.238095238,0.746420027,1.179184545,0.92838826,1.023532631,0.700340053,Visual,0.645390071,6,1.945910149,8
155,glistening,1,4.380952381,0.619047619,0.952380952,0.19047619,0.142857143,1.321975434,1.203170415,1.283596139,0.511766316,0.478091444,Visual,0.674242424,2,1.098612289,10
156,glittery,1,4.666666667,2,0.761904762,0.095238095,0.047619048,0.658280589,1.760681686,1.220850601,0.300792604,0.21821789,Visual,0.610062893,0,0,8
157,globular,0.857142857,4.444444444,3.166666667,0.777777778,0.333333333,0.888888889,0.855585264,2.007339474,0.942809042,1.028991511,1.676441922,Visual,0.427745665,1,0.693147181,8
158,glossy,1,4.80952381,3.761904762,0.380952381,0.333333333,0.476190476,0.511766316,1.374945886,0.804747816,0.795822426,0.92838826,Visual,0.458536585,6,1.945910149,6
159,glowing,1,4.571428571,0.523809524,0.428571429,0.285714286,0.142857143,0.870139562,1.289148852,0.978336781,0.902377811,0.654653671,Visual,0.744,8,2.197224577,7
160,gold,1,4.523809524,1.047619048,0.142857143,0.238095238,0.142857143,1.030487633,1.359271514,0.358568583,0.624880941,0.358568583,Visual,0.71875,78,4.369447852,4
